1.000E-03	2.390E+02
1.500E-03	2.693E+02
2.000E-03	2.975E+02
2.500E-03	3.236E+02
3.000E-03	3.480E+02
4.000E-03	3.926E+02
5.000E-03	4.330E+02
6.000E-03	4.701E+02
7.000E-03	5.046E+02
8.000E-03	5.369E+02
9.000E-03	5.675E+02
1.000E-02	5.965E+02
1.250E-02	6.538E+02
1.500E-02	7.039E+02
1.750E-02	7.484E+02
2.000E-02	7.883E+02
2.250E-02	8.242E+02
2.500E-02	8.566E+02
2.750E-02	8.860E+02
3.000E-02	9.125E+02
3.500E-02	9.580E+02
4.000E-02	9.949E+02
4.500E-02	1.024E+03
5.000E-02	1.047E+03
5.500E-02	1.064E+03
6.000E-02	1.076E+03
6.500E-02	1.083E+03
7.000E-02	1.087E+03
7.500E-02	1.087E+03
8.000E-02	1.085E+03
8.500E-02	1.080E+03
9.000E-02	1.074E+03
9.500E-02	1.065E+03
1.000E-01	1.056E+03
1.250E-01	9.956E+02
1.500E-01	9.291E+02
1.750E-01	8.661E+02
2.000E-01	8.099E+02
2.250E-01	7.610E+02
2.500E-01	7.187E+02
2.750E-01	6.822E+02
3.000E-01	6.504E+02
3.500E-01	5.919E+02
4.000E-01	5.415E+02
4.500E-01	4.997E+02
5.000E-01	4.653E+02
5.500E-01	4.367E+02
6.000E-01	4.118E+02
6.500E-01	3.901E+02
7.000E-01	3.709E+02
7.500E-01	3.538E+02
8.000E-01	3.384E+02
8.500E-01	3.244E+02
9.000E-01	3.117E+02
9.500E-01	3.000E+02
1.000E+00	2.893E+02
1.250E+00	2.466E+02
1.500E+00	2.160E+02
1.750E+00	1.929E+02
2.000E+00	1.746E+02
2.250E+00	1.598E+02
2.500E+00	1.475E+02
2.750E+00	1.372E+02
3.000E+00	1.283E+02
3.500E+00	1.139E+02
4.000E+00	1.026E+02
4.500E+00	9.350E+01
5.000E+00	8.602E+01
5.500E+00	7.974E+01
6.000E+00	7.439E+01
